Gene_Name,F-Statistic,p-value (ANOVA),Chi-Square Statistic,p-value (Chi-Squared Test),Correlation Coefficient,p-value (Pearson Correlation)
WT1,10.307544003865946,9.25217254895926e-12,1.194802980305838,0.9966930041063725,-0.2112199379676766,0.0041020457660060515
GYPC,10.301842282385413,9.386268666325387e-12,1.1943544896866358,0.9966973866575846,-0.16242504308660413,0.028034870696035774
FCER1G,10.299051262293359,9.452622956080907e-12,1.194134893196367,0.9966995310644153,0.4512573564405336,1.4453750293304985e-10
AHDC1,10.295028092314174,9.549104854287872e-12,1.1938182842695302,0.9967026211509256,-0.5031456308543285,3.9029728146338035e-13
PLCB2,10.275828306258685,1.0023420717892269e-11,1.1923062349066298,0.9967173515313362,0.04025835144885998,0.5884437603686253
TLE1_3,10.252338888814648,1.0636193476452006e-11,1.1904538946585579,0.9967353359226817,0.11923640172996298,0.10790345152041883
RASSF2,10.210820232487439,1.181332106407152e-11,1.1871731361644606,0.9967670240839525,0.2724421631870936,0.0001906421126637368
FGF13,10.184854228064761,1.2615507778991809e-11,1.185116995225058,0.9967867768122705,-0.023846080550294215,0.7486507443284008
CTSB,10.181330712246112,1.2728520319685309e-11,1.18483772484354,0.9967894533245634,0.43360603289351,8.706193367353351e-10
PPIB,10.161995194474324,1.3367127803980867e-11,1.1833041130540107,0.9968041243240494,0.20721717014671787,0.0048839601224209325
LGALS1,10.157552804838732,1.3518362274509342e-11,1.1829514988509227,0.9968074910721055,0.3603238509043889,5.43449056700164e-07
